epoch,global_step,total_loss,spectrum_loss,rfi_loss,alpha,beta
93,21391,0.275024,0.142063,0.124128,0.878612,0.8000,0.2000
93,21441,0.507650,0.170095,0.244026,0.888430,0.5909,0.4091
93,21491,0.437108,0.168372,0.193907,0.888766,0.6500,0.3500
93,21541,0.861450,0.148639,0.855877,0.883741,0.8000,0.2000
94,21621,0.680364,0.119165,0.503038,0.887397,0.5386,0.4614
94,21671,0.749868,0.149902,0.677031,0.885136,0.6500,0.3500
94,21721,1.119902,0.180670,1.178511,0.885468,0.8000,0.2000
94,21771,0.573193,0.132575,0.404389,0.886687,0.6500,0.3500
95,21851,0.699171,0.181292,0.596502,0.889842,0.6500,0.3500
95,21901,0.548509,0.145622,0.276516,0.880946,0.5500,0.4500
95,21951,0.502351,0.111735,0.192448,0.881121,0.5500,0.4500
95,22001,0.890852,0.237143,0.890716,0.891107,0.6500,0.3500
96,22081,0.366383,0.120270,0.237544,0.881737,0.8000,0.2000
96,22131,0.453340,0.138539,0.214255,0.897353,0.6500,0.3500
96,22181,0.499581,0.236132,0.299291,0.886821,0.6591,0.3409
96,22231,0.391944,0.184253,0.268418,0.886051,0.8000,0.2000
97,22311,0.623447,0.167240,0.431873,0.886536,0.5786,0.4214
97,22361,0.398892,0.123008,0.192510,0.880451,0.7000,0.3000
97,22411,0.425977,0.156489,0.309871,0.890399,0.8000,0.2000
97,22461,0.941973,0.153167,0.969070,0.891651,0.6500,0.3500
98,22541,0.409991,0.117214,0.200162,0.899593,0.7000,0.3000
98,22591,0.459170,0.161125,0.334878,0.878480,0.7714,0.2286
